"1","2/6/2020 08:26:28","2/6/2020 08:26:28","ADM","1","ADMIN"
"3","2/6/2020 10:16:42","2/6/2020 10:16:42","ASR-POL","1","ASSESSOR"
"4","3/17/2020 13:06:32","3/17/2020 13:06:32","CRP","1","CRP"
